emp_id,name_prefix,first_name,middle_initial,last_name,gender,e_mail,fathers_name,mothers_name,mothers_maiden_name,date_of_birth,time_of_birth,age_in_yrs,weight_in_kgs,date_of_joining,quarter_of_joining,half_of_joining,year_of_joining,month_of_joining,month_name_of_joining,short_month,day_of_joining,dow_of_joining,short_dow,age_in_company_years,salary,last_hike,ssn,phone_no,place_name,country,city,state_name,zip,region,user_name,password_
726264         ,Hon. ,Carl   ,N,Collins ,M,carl.collins@yahoo.com      ,Gerald Collins  ,Phyllis Collins  ,Rodriguez ,12/22/1973,02:18:24 PM,43.63,90             ,6/9/2007,Q2,H1,2007           ,6              ,June     ,Jun,9              ,Saturday ,Sat,10.14,162159         ,7% ,544-81-6171,479-740-7633,Wright      ,Jefferson     ,Wright      ,AR,72182          ,South    ,cncollins ,XinULSmjAFL/   
766610         ,Ms.  ,Joyce  ,E,Jenkins ,F,joyce.jenkins@aol.com       ,Edward Jenkins  ,Susan Jenkins    ,Hayes     ,8/22/1961,02:54:56 AM,55.97,44             ,5/14/2010,Q2,H1,2010           ,5              ,May      ,May,14             ,Friday   ,Fri,7.21 ,119321         ,13%,695-16-6506,262-455-4187,Ellsworth   ,Pierce        ,Ellsworth   ,WI,54011          ,Midwest  ,jejenkins ,C5/iW3Ry#o{~elV
923947         ,Ms.  ,Mary   ,G,Bryant  ,F,mary.bryant@verizon.net     ,Joshua Bryant   ,Norma Bryant     ,Harris    ,6/21/1962,12:02:11 AM,55.14,45             ,5/20/2004,Q2,H1,2004           ,5              ,May      ,May,20             ,Thursday ,Thu,13.2 ,155442         ,4% ,491-29-7461,319-827-3516,Conroy      ,Iowa          ,Conroy      ,IA,52220          ,Midwest  ,mgbryant  ,A[iR?Z1{       
227922         ,Hon. ,Amanda ,M,Hughes  ,F,amanda.hughes@rediffmail.com,Roy Hughes      ,Cynthia Hughes   ,Bryant    ,7/29/1982,02:43:26 AM,35.02,40             ,4/19/2007,Q2,H1,2007           ,4              ,April    ,Apr,19             ,Thursday ,Thu,10.28,114257         ,22%,311-35-2540,225-544-9700,Lake Charles,Calcasieu     ,Lake Charles,LA,70605          ,South    ,amhughes  ,B2N>J{_k7]F    
265813         ,Hon. ,Jack   ,E,Campbell,M,jack.campbell@gmail.com     ,Philip Campbell ,Wanda Campbell   ,Watson    ,1/4/1985,02:25:34 PM,32.58,50             ,7/29/2007,Q3,H2,2007           ,7              ,July     ,Jul,29             ,Sunday   ,Sun,10.01,186280         ,23%,047-15-1537,316-499-5737,Kalvesta    ,Kalvesta      ,Kalvesta    ,KS,67856          ,Midwest  ,jecampbell,rh\N>WRr4hl~l  
247137         ,Mr.  ,Alan   ,E,Rivera  ,M,alan.rivera@apple.com       ,Bobby Rivera    ,Jennifer Rivera  ,Jackson   ,12/11/1978,09:46:54 PM,38.65,80             ,6/7/2006,Q2,H1,2006           ,6              ,June     ,Jun,7              ,Wednesday,Wed,11.15,154810         ,12%,399-31-7149,423-277-6819,Knoxville   ,Knox          ,Knoxville   ,TN,37901          ,South    ,aerivera  ,rSuD~3HS*{S    
407061         ,Ms.  ,Elizabe,Q,Jackson ,F,elizabeth.jackson@aol.com   ,Scott Jackson   ,Catherine Jackson,Jackson   ,8/15/1964,05:45:35 AM,52.99,56             ,1/19/2005,Q1,H1,2005           ,1              ,January  ,Jan,19             ,Wednesday,Wed,12.53,85420          ,24%,660-24-4434,603-568-6118,Rochester   ,Strafford     ,Rochester   ,NH,3867           ,Northeast,eqjackson ,EAHcnWsf6xMRwr]
226714         ,Drs. ,Nancy  ,L,Davis   ,F,nancy.davis@ibm.com         ,Bruce Davis     ,Jessica Davis    ,Moore     ,11/14/1983,02:51:17 AM,33.73,52             ,8/25/2012,Q3,H2,2012           ,8              ,August   ,Aug,25             ,Saturday ,Sat,4.93 ,94986          ,11%,224-99-5928,219-610-3067,Bowling Gree,Clay          ,Bowling Gree,IN,47833          ,Midwest  ,nldavis   ,bv-KfTutT?0*pm 
702813         ,Mr.  ,Ernest ,D,Martinez,M,ernest.martinez@gmail.com   ,Ryan Martinez   ,Beverly Martinez ,Hill      ,11/9/1989,10:28:03 PM,27.73,53             ,1/24/2016,Q1,H1,2016           ,1              ,January  ,Jan,24             ,Sunday   ,Sun,1.51 ,172098         ,8% ,672-48-7749,479-951-4138,Uniontown   ,Crawford      ,Uniontown   ,AR,72955          ,South    ,edmartinez,qe?JNGBY{[\7;dD
524896         ,Ms.  ,Judy   ,Y,Hernande,F,judy.hernandez@gmail.com    ,Fred Hernandez  ,Pamela Hernandez ,Evans     ,3/25/1961,05:49:46 AM,56.38,40             ,12/27/2011,Q4,H2,2011           ,12             ,December ,Dec,27             ,Tuesday  ,Tue,5.59 ,133332         ,30%,534-71-4481,316-736-6126,Topeka      ,Shawnee       ,Topeka      ,KS,66606          ,Midwest  ,jyhernande,kiB:v!j&?D!&NYY
363065         ,Drs. ,Nancy  ,L,Jones   ,F,nancy.jones@gmail.com       ,Eugene Jones    ,Sandra Jones     ,Jenkins   ,11/10/1993,03:06:00 AM,23.73,60             ,10/16/2015,Q4,H2,2015           ,10             ,October  ,Oct,16             ,Friday   ,Fri,1.78 ,61924          ,4% ,681-24-3165,212-825-1930,New York Cit,New York      ,New York Cit,NY,10087          ,Northeast,nljones   ,J}HJq/zVF-Aq2  
879753         ,Mrs. ,Pamela ,X,Wright  ,F,pamela.wright@aol.com       ,Terry Wright    ,Debra Wright     ,Williams  ,4/14/1996,03:43:43 AM,21.3 ,47             ,6/9/2017,Q2,H1,2017           ,6              ,June     ,Jun,9              ,Friday   ,Fri,0.13 ,149262         ,9% ,459-99-9201,307-329-8832,Banner      ,Sheridan      ,Banner      ,WY,82832          ,West     ,pxwright  ,3a*&[Y^pV\0!rU 
958326         ,Mr.  ,Larry  ,T,Miller  ,M,larry.miller@shell.com      ,Russell Miller  ,Mildred Miller   ,Ward      ,10/31/1988,08:55:23 AM,28.76,75             ,2/22/2017,Q1,H1,2017           ,2              ,February ,Feb,22             ,Wednesday,Wed,0.43 ,97904          ,20%,207-84-9482,217-574-9283,East Saint L,St. Clair     ,East Saint L,IL,62201          ,Midwest  ,ltmiller  ,2WgF#:ew**x#   
447813         ,Mrs. ,Ann    ,Q,Coleman ,F,ann.coleman@ibm.com         ,Harold Coleman  ,Tina Coleman     ,Walker    ,5/11/1989,09:46:13 PM,28.23,41             ,11/19/2013,Q4,H2,2013           ,11             ,November ,Nov,19             ,Tuesday  ,Tue,3.69 ,130014         ,12%,027-92-0557,319-994-4179,Hancock     ,Pottawattamie ,Hancock     ,IA,51536          ,Midwest  ,aqcoleman ,g2]GlvlL5      
525955         ,Drs. ,Judy   ,C,Gonzales,F,judy.gonzales@gmail.com     ,Kevin Gonzales  ,Sharon Gonzales  ,Perez     ,6/17/1959,07:11:37 PM,58.15,51             ,1/3/1992,Q1,H1,1992           ,1              ,January  ,Jan,3              ,Friday   ,Fri,25.58,149575         ,9% ,029-92-2155,201-640-8645,Eatontown   ,Monmouth      ,Eatontown   ,NJ,7724           ,Northeast,jcgonzales,yDl}pfaWs{Hro6 
818384         ,Mr.  ,Peter  ,X,Washingt,M,peter.washington@bp.com     ,Douglas Washingt,Jean Washington  ,Henderson ,11/6/1982,07:45:32 AM,34.75,70             ,11/29/2009,Q4,H2,2009           ,11             ,November ,Nov,29             ,Sunday   ,Sun,7.67 ,173226         ,27%,039-74-8867,231-322-0316,Portage     ,Kalamazoo     ,Portage     ,MI,49024          ,Midwest  ,pxwashingt,97%d^2rk41!E>*Q
971640         ,Prof.,Clarenc,A,Ross    ,M,clarence.ross@apple.com     ,Arthur Ross     ,Louise Ross      ,Washington,12/13/1960,07:34:07 PM,56.66,64             ,12/31/2008,Q4,H2,2008           ,12             ,December ,Dec,31             ,Wednesday,Wed,8.58 ,165272         ,9% ,372-37-5315,423-772-0118,Oneida      ,Scott         ,Oneida      ,TN,37841          ,South    ,caross    ,h&jmac@+QD?B   
